OBJECTNUMMER;Modaliteit;Lijn;Lijn_select;RADIUS;COORDS;LNG;LAT;
1;"Tram";"1 | 2 | 5 | 13 | 17";"01|02|05|13|17";3;"POINT(4.893343,52.376069)";"4,893343";"52,376069";
2;"Tram";"1 | 17";"01|17";3;"POINT(4.853116,52.358382)";"4,853116";"52,358382";
3;"Tram";"1 | 17";"01|17";3;"POINT(4.827324,52.357814)";"4,827324";"52,357814";
4;"Tram";"1 | 2 | 5";"01|02|05";3;"POINT(4.889289,52.369259)";"4,889289";"52,369259";
5;"Tram";"1 | 2 | 5";"01|02|05";3;"POINT(4.884465,52.365022)";"4,884465";"52,365022";
6;"Tram";"1 | 2 | 5";"01|02|05";3;"POINT(4.886445,52.365961)";"4,886445";"52,365961";
7;"Tram";"1 | 2 | 5";"01|02|05";3;"POINT(4.888955,52.367003)";"4,888955";"52,367003";
8;"Tram";"1";"01";3;"POINT(4.774774,52.353743)";"4,774774";"52,353743";
9;"Tram";"1";"01";3;"POINT(4.776845,52.352915)";"4,776845";"52,352915";
10;"Tram";"1";"01";3;"POINT(4.783286,52.350336)";"4,783286";"52,350336";
11;"Tram";"1";"01";3;"POINT(4.794746,52.350983)";"4,794746";"52,350983";
12;"Tram";"1";"01";3;"POINT(4.802255,52.352503)";"4,802255";"52,352503";
13;"Tram";"1";"01";3;"POINT(4.808842,52.353895)";"4,808842";"52,353895";
14;"Tram";"1 | 3 | 12";"01|03|12";3;"POINT(4.875286,52.36275)";"4,875286";"52,36275";
15;"Tram";"1";"01";3;"POINT(4.860095,52.358966)";"4,860095";"52,358966";
16;"Tram";"9";"09";3;"POINT(4.940189,52.347756)";"4,940189";"52,347756";
17;"Tram";"9";"09";3;"POINT(4.947648,52.343072)";"4,947648";"52,343072";
18;"Tram";"9";"09";3;"POINT(4.954532,52.339608)";"4,954532";"52,339608";
19;"Tram";"9";"09";3;"POINT(4.958634,52.338757)";"4,958634";"52,338757";
20;"Tram";"9";"09";3;"POINT(4.965739,52.337495)";"4,965739";"52,337495";
21;"Tram";"9";"09";3;"POINT(4.969576,52.336761)";"4,969576";"52,336761";
22;"Tram";"3 | 7";"03|07";3;"POINT(4.929367,52.361017)";"4,929367";"52,361017";
23;"Tram";"1 | 17";"01|17";3;"POINT(4.810136,52.356399)";"4,810136";"52,356399";
24;"Tram";"1 | 17";"01|17";3;"POINT(4.840031,52.357955)";"4,840031";"52,357955";
